cpdiv,cpimage,cpcoords,cp1,cp2,cp3,cptabimage,cptab1,cptab2,cpfield,pbdiv,pb1,pb2,pbtab1,pbtab2,pbfield,howto,addinfo
div-menuHostCommon,scr-menuHostCommon.png,"175,1,224,53",Host,,,,div-menuHost,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,"226,1,275,53",Tools,,,,div-menuTools,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,"280,1,329,53",Help,,,,div-menuHelp,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,"357,1,448,53",Modules,,,,div-menuModules,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,"454,1,523,53",Pages,,,,div-menuPages,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,"527,1,605,53",Users,,,,div-menuUsers,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,"610,1,710,53",OnDemand,,,,div-menuOnDemand,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,,,div-menuHostCommon,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Advanced,,,div-menuHostAdvanced,,,,,,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Dashboard,,Web Server,,,,Settings,Servers,System Info,Web,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Dashboard,,Database Server,,,,Settings,Servers,System Info,Database,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Dashboard,,Host,,,,Settings,Servers,System Info,Application,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Dashboard,,Websites,,,,Manage,Sites,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Dashboard,,Modules,,,,Settings,Extensions,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Dashboard,,Themes,,,,Manage,Themes,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Extensions,,Installed Extensions,,,,Settings,Extensions,Installed Extensions,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Extensions,,Available Extensions,,,,Settings,Extensions,Available Extensions,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Extensions,,Purchased Extensions,,,,(deprecated),,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Extensions,,More Extensions,,,,(deprecated),,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Extensions,,<uicontrol>Install Extension Wizard</uicontrol> button,,,,Settings,Extensions,<uicontrol>Install Extension</uicontrol> button,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Extensions,,<uicontrol>Create New Extension</uicontrol> button,,,,Settings,Extensions,<uicontrol>Create New Extension</uicontrol> button,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Extensions,,<uicontrol>Create New Module</uicontrol> button,,,,Settings,Extensions,<uicontrol>Create New Module</uicontrol> button,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,File Management,,,,,,Content,Assets,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Configuration,"Product
Version
Data Provider
GUID
Is Web Farm",,Settings,Servers,System Info,Application,"Product
Version
Data Provider
Host GUID
Web Farm Enabled",,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Configuration,Upgrade Available,,(not yet available),,,,,,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Configuration,".NET Framework
ASP.NET Identity
Relative Path
Physical Path
Server Time",,Settings,Servers,System Info,Web,".NET Framework Version
ASP.NET Identity
Relative Path
Physical Path
Server Time",,
div-menuHostCommon,scr-menuHostCommon.png,,Host,Common,Host Settings,,Basic Settings,Configuration,Server Name,,???,,,,,,
